Year,Country,Sector,Emissions
1970,Afghanistan,Agriculture,0.02922856714297
1970,Albania,Agriculture,0.11329999997369
1970,Argentina,Agriculture,0.10434285042018
1970,Armenia,Agriculture,0.055288202519284
1970,Australia,Agriculture,0.31114284175401
1970,Austria,Agriculture,0.0064428570016971
1970,Azerbaijan,Agriculture,0.041466151889463
1970,Belgium,Agriculture,0.041747618170914
1970,Bangladesh,Agriculture,0.2085285356893
1970,Bulgaria,Agriculture,0.91787139920468
1970,Bosnia and Herzegovina,Agriculture,
1970,Belarus,Agriculture,
1970,Brazil,Agriculture,1.1410142662486
1970,Canada,Agriculture,0.61704760766005
1970,Switzerland and Liechtenstein,Agriculture,0.013619045676953
1970,Chile,Agriculture,0.055628568286481
1970,China,Agriculture,4.6383330009512
1970,Côte d’Ivoire,Agriculture,0.0047142848571429
1970,Cameroon,Agriculture,0.032999999723714
1970,Colombia,Agriculture,0.16201426025828
1970,Costa Rica,Agriculture,0.05342856743272
1970,Cuba,Agriculture,0.4635714186676
1970,Cyprus,Agriculture,0.042114285269023
1970,Czechia,Agriculture,1.6588617351826
1970,Germany,Agriculture,1.5579142726303
1970,Denmark,Agriculture,0.0078571421154171
1970,Dominican Republic,Agriculture,0.12697142574467
1970,Algeria,Agriculture,0.22125714234899
1970,Ecuador,Agriculture,0.053009517985419
1970,Egypt,Agriculture,0.82578567975826
1970,Spain and Andorra,Agriculture,1.1007856951282
1970,Estonia,Agriculture,0.076597197240257
1970,Ethiopia,Agriculture,0.013776190105877
1970,Finland,Agriculture,
1970,France and Monaco,Agriculture,2.78457141498
1970,United Kingdom,Agriculture,1.234828571457
1970,Georgia,Agriculture,
1970,Greece,Agriculture,0.47771428580427
1970,Guatemala,Agriculture,0.075428569161714
1970,Croatia,Agriculture,0.03889711510598
1970,Hungary,Agriculture,0.91818567896878
1970,Indonesia,Agriculture,0.57823324544506
1970,India,Agriculture,2.4619568434728
1970,Ireland,Agriculture,0.0336285670314
1970,Iran,Agriculture,0.26923806656393
1970,Iraq,Agriculture,0.06332857124724
1970,Iceland,Agriculture,0.007228571428716
1970,"Israel and Palestine, State of",Agriculture,0.095385712167937
1970,"Italy, San Marino and the Holy See",Agriculture,1.0350999468211
1970,Jordan,Agriculture,0.0075428569161714
1970,Japan,Agriculture,0.55345711628921
1970,Kazakhstan,Agriculture,0.071413928254075
1970,Kenya,Agriculture,0.018071428262046
1970,Kyrgyzstan,Agriculture,0.15722582591421
1970,South Korea,Agriculture,0.41375706762857
1970,Kuwait,Agriculture,
1970,Lebanon,Agriculture,0.083599997154775
1970,Libya,Agriculture,0.025404761481931
1970,Sri Lanka,Agriculture,0.17317141998057
1970,Lithuania,Agriculture,
1970,Latvia,Agriculture,0.057591877624254
1970,Morocco,Agriculture,0.20978570875571
1970,Moldova,Agriculture,
1970,Mexico,Agriculture,1.1997332960826
1970,North Macedonia,Agriculture,0.0090759935247286
1970,Mali,Agriculture,
1970,Myanmar/Burma,Agriculture,0.057357132428571
1970,Mauritius,Agriculture,0.03645714286808
1970,Malaysia,Agriculture,0.15190474363415
1970,Nigeria,Agriculture,0.02954285715172
1970,Nicaragua,Agriculture,0.062333326767709
1970,Netherlands,Agriculture,0.0095857135731257
1970,Norway,Agriculture,0.00094285702857771
1970,Nepal,Agriculture,0.026714284863743
1970,New Zealand,Agriculture,0.092242851017537
1970,Pakistan,Agriculture,0.58331419990677
1970,Peru,Agriculture,0.20239998676164
1970,Philippines,Agriculture,0.36959997996341
1970,Poland,Agriculture,2.368038032036
1970,North Korea,Agriculture,0.64271424322143
1970,Portugal,Agriculture,0.22125714154983
1970,Paraguay,Agriculture,
1970,Qatar,Agriculture,
1970,Romania,Agriculture,1.0921428328939
1970,Russia,Agriculture,5.0784097338415
1970,Saudi Arabia,Agriculture,
1970,Serbia and Montenegro,Agriculture,0.037816639686369
1970,Sudan and South Sudan,Agriculture,0.10575712843649
1970,Senegal,Agriculture,0.0028809518952423
1970,El Salvador,Agriculture,0.20428571205663
1970,Slovakia,Agriculture,0.22245255107826
1970,Slovenia,Agriculture,0.0037816639686369
1970,Sweden,Agriculture,0.07919999640154
1970,Syria,Agriculture,0.08580000001386
1970,Thailand,Agriculture,0.089571426307846
1970,Tajikistan,Agriculture,0.1272780495496
1970,Turkmenistan,Agriculture,0.32827370245825
1970,Trinidad and Tobago,Agriculture,0.0440000000132
1970,Tunisia,Agriculture,0.060814285629954
1970,Türkiye,Agriculture,0.71819521857273
1970,Taiwan,Agriculture,0.74485711732389
1970,Tanzania,Agriculture,0.039757142611503
1970,Ukraine,Agriculture,2.076519710981
1970,Uruguay,Agriculture,0.012938093724078
1970,United States,Agriculture,3.218128450348
1970,Uzbekistan,Agriculture,2.3767927634313
1970,Venezuela,Agriculture,0.094966664204226
1970,Viet Nam,Agriculture,0.22471425630457
1970,South Africa,Agriculture,0.1554142763454
1970,Zambia,Agriculture,0.034571426861166
1970,Zimbabwe,Agriculture,0.2200000000044
1970,Aruba,Buildings,0.0053685352256851
1970,Afghanistan,Buildings,0.79530371227181
1970,Angola,Buildings,0.12018614573
1970,Anguilla,Buildings,1.0636064654e-05
1970,Albania,Buildings,0.99279409269
1970,Curaçao,Buildings,0.37750047102
1970,United Arab Emirates,Buildings,
1970,Argentina,Buildings,12.11219935006
1970,Armenia,Buildings,3.406251422419
1970,Antigua and Barbuda,Buildings,0.022105733282233
1970,Australia,Buildings,10.50991319052
1970,Austria,Buildings,14.82991972683
1970,Azerbaijan,Buildings,3.5644527947634
1970,Burundi,Buildings,0.020308083781542
1970,Belgium,Buildings,35.1798015351
1970,Benin,Buildings,0.04093990314
1970,Burkina Faso,Buildings,0.087034644873365
1970,Bangladesh,Buildings,0.87021339454
1970,Bulgaria,Buildings,25.66845060515
1970,Bahrain,Buildings,0.04625062573
1970,Bahamas,Buildings,0.22105733281443
1970,Bosnia and Herzegovina,Buildings,1.4638809049852
1970,Belarus,Buildings,14.319243146165
1970,Belize,Buildings,0.012631847589847
1970,Bermuda,Buildings,0.030000638025887
1970,Bolivia,Buildings,0.37344038428
1970,Brazil,Buildings,7.88897523816
1970,Barbados,Buildings,0.061772651782485
1970,Brunei,Buildings,0.01807222077
